param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_frequency,true_phase,true_position,true_width,initial_frequency,initial_phase,initial_position,initial_width,fitted_frequency,fitted_phase,fitted_position,fitted_width,error_frequency,error_phase,error_position,error_width
1,Standard lmfit (least_squares),0.0004589557647705078,0.017222881317138672,True,False,`ftol` termination condition is satisfied.,116,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.525,3.141592653589793,10.0,1.55,0.27843643678224,6.283185307179585,10.054092657791317,0.5235162707442689,0.3138801385961491,0.04928569359008367,0.1839170375295231,0.7148774400205158
1,ZeroGuess + lmfit (least_squares),0.0012047290802001953,0.0075075626373291016,True,True,`ftol` termination condition is satisfied.,45,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.426593154668808,0.6783527731895447,12.983657836914062,1.898797631263733,0.40614447376643054,2.014989492356957e-14,12.451482377110306,1.854332542659328,0.0008165356192267213,0.04928569359008706,0.010677240734061417,0.009924755279598556
1,True + lmfit (least_squares),0.00039005279541015625,0.0052030086517333984,True,True,`ftol` termination condition is satisfied.,25,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.4060525735346707,5.988275593586558,12.338467840938344,1.851461364945865,0.0005900761263287513,0.0023493549059383076,0.0015039378194548717,0.008361026345911834
1,Standard lmfit (dual_annealing),0.0004057884216308594,0.7530467510223389,True,True,['Maximum number of iteration reached'],8121,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.525,3.141592653589793,10.0,1.55,0.4061444655332137,0.0,12.451482384446136,1.8543324335285924,0.0008165153310286106,0.049285693590083814,0.010677241329505068,0.009924695843748261
1,ZeroGuess + lmfit (dual_annealing),0.0011489391326904297,0.9363512992858887,True,True,['Maximum number of iteration reached'],8376,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.426593154668808,0.6783527731895447,12.983657836914062,1.898797631263733,0.406052621198979,5.988277062278266,12.33846839194519,1.8514607375375303,0.0005901935801683694,0.002349588655483483,0.0015039825442564137,0.008360684640638133
1,True + lmfit (dual_annealing),0.0004048347473144531,0.7615647315979004,True,True,['Maximum number of iteration reached'],8196,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40605258068230554,5.988275740714086,12.338467892761688,1.8514617115401242,0.0005900937394481653,0.002349378322011644,0.001503942025915803,0.008361215111472607
2,Standard lmfit (least_squares),0.0004069805145263672,0.018972396850585938,True,False,`ftol` termination condition is satisfied.,126,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.525,3.141592653589793,10.0,1.55,0.09018662816609786,9.206029341390217e-18,9.643539956992377,0.9709698167492283,0.5450122550359636,0.15599452033620265,0.7279740430876394,0.6282530749928423
2,ZeroGuess + lmfit (least_squares),0.0011413097381591797,0.006395101547241211,True,True,`ftol` termination condition is satisfied.,35,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.20701046288013458,1.1938778162002563,5.474034309387207,2.337677240371704,0.19717489566473834,0.9795515292818593,5.577202790491749,2.60170493041519,0.005260946480952523,9.405243776928056e-05,0.0006510370688237714,0.0039074428740974495
2,True + lmfit (least_squares),0.0004470348358154297,0.004586696624755859,True,True,`ftol` termination condition is satisfied.,20,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19717490014890837,0.979552043079436,5.577203209959714,2.601704377579424,0.005260923858503344,9.397066434519905e-05,0.0006509619066157965,0.003907654533607889
2,Standard lmfit (dual_annealing),0.0004119873046875,0.7701427936553955,True,True,['Maximum number of iteration reached'],8261,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.525,3.141592653589793,10.0,1.55,0.19717488276476497,0.9795517137396774,5.577202906089107,2.6017055087832386,0.005261011560775462,9.402308039573307e-05,0.0006510163555551959,0.003907221439259962
2,ZeroGuess + lmfit (dual_annealing),0.0011620521545410156,0.7744674682617188,True,True,['Maximum number of iteration reached'],8271,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.20701046288013458,1.1938778162002563,5.474034309387207,2.337677240371704,0.1971748869459291,0.9795506891540621,5.5772021042007065,2.601705500065833,0.005260990466978291,9.418614826103689e-05,0.0006511600416234913,0.003907224776818576
2,True + lmfit (dual_annealing),0.0004451274871826172,0.7785594463348389,True,True,['Maximum number of iteration reached'],8281,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19717473889857046,0.9795505699668463,5.577201703718769,2.601702765076523,0.005261737359674357,9.420511749557902e-05,0.0006512318018272778,0.003908271898828378
3,Standard lmfit (least_squares),0.0004355907440185547,0.020483016967773438,True,False,`ftol` termination condition is satisfied.,150,0.6210592611560484,4.448951217224888,5.2058449429580245,2.9127385712697835,0.525,3.141592653589793,10.0,1.55,0.621732905400684,7.014534183614655e-38,8.886754431020265,2.9999999999999996,0.0010846698322825798,0.29192742220395446,0.7070724403809658,0.02995855158129593
