param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_amplitude1,true_center1,true_width1,true_amplitude2,true_center2,true_width2,initial_amplitude1,initial_center1,initial_width1,initial_amplitude2,initial_center2,initial_width2,fitted_amplitude1,fitted_center1,fitted_width1,fitted_amplitude2,fitted_center2,fitted_width2,error_amplitude1,error_center1,error_width1,error_amplitude2,error_center2,error_width2
1,Standard lmfit (least_squares),0.0005772113800048828,0.037362098693847656,True,True,`ftol` termination condition is satisfied.,268,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.05,0.0,1.05,5.05,0.0,1.05,6.007688849556052,-3.4418934364957408,0.39785191711447104,3.7924839170150406,4.501364969112148,1.4986495706849836,0.0031576292199743364,0.0006046376823386159,0.0036891192846605476,0.004060786260091978,0.001281986150614473,0.005273102991463333
1,ZeroGuess + lmfit (least_squares),0.001337289810180664,0.007760763168334961,True,True,`ftol` termination condition is satisfied.,49,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.249610424041748,-3.0718283653259277,0.5089237093925476,3.9526093006134033,3.9818592071533203,1.3208218812942505,6.007688843696211,-3.44189344003718,0.3978519178504087,3.792483916159675,4.501364968427756,1.498649571459267,0.0031576301922847274,0.0006046387118825269,0.003689121141262399,0.004060786484718401,0.0012819863024603766,0.005273103510841709
1,True + lmfit (least_squares),0.0005764961242675781,0.005516529083251953,True,True,`ftol` termination condition is satisfied.,28,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.007688860957806,-3.4418934351006176,0.3978519156000827,3.7924839257258487,4.501364973813563,1.4986495639167143,0.003157627328106768,0.0006046372767575897,0.0036891154642061754,0.004060783972558125,0.0012819851075112944,0.005273098451403274
1,Standard lmfit (dual_annealing),0.0005230903625488281,1.14878511428833,True,True,['Maximum number of iteration reached'],12379,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.05,0.0,1.05,5.05,0.0,1.05,6.007679960163723,-3.4418935140115416,0.39785254268155756,3.7924844662101953,4.5013628333869855,1.4986502234764298,0.0031591042169566773,0.0006046602172227704,0.003690697446914175,0.004060642036674682,0.0012824600040359604,0.005273540874805508
1,ZeroGuess + lmfit (dual_annealing),0.0012946128845214844,1.1611237525939941,True,True,['Maximum number of iteration reached'],12568,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.249610424041748,-3.0718283653259277,0.5089237093925476,3.9526093006134033,3.9818592071533203,1.3208218812942505,6.007688940487265,-3.4418934445479343,0.39785190187043645,3.792483868213756,4.501364964506776,1.4986495583604367,0.003157614131961625,0.0006046400232194093,0.003689080827458272,0.004060799075733195,0.0012819871724083524,0.005273094724330185
1,True + lmfit (dual_annealing),0.0005030632019042969,1.11671781539917,True,True,['Maximum number of iteration reached'],12169,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.007690660339762,-3.4418934769417504,0.39785204337868557,3.7924846254600584,4.50136573182007,1.498649208019127,0.0031573287606843675,0.0006046494405367069,0.0036894378203086754,0.0040606002162775785,0.001281816928579195,0.0052728597202955935
2,Standard lmfit (least_squares),0.0004935264587402344,0.04841804504394531,True,True,`ftol` termination condition is satisfied.,423,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,5.05,0.0,1.05,5.05,0.0,1.05,7.106195129046236,-4.792106526809408,1.9376084537996023,0.6644797181153425,3.632424911998393,1.234051031947393,0.0005236897053102654,0.00042729745037312463,0.002686940571160743,0.015626086759103566,0.008011593898033362,0.006494944097352995
2,ZeroGuess + lmfit (least_squares),0.0012505054473876953,0.009427785873413086,True,True,`ftol` termination condition is satisfied.,63,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,6.3409423828125,-2.960442066192627,1.7815485000610352,1.7801533937454224,3.226583480834961,0.750143826007843,7.106195131644202,-4.7921065272948775,1.9376084521492025,0.6644796874587386,3.6324247836494217,1.234051146923414,0.0005236893399101006,0.00042729734911035015,0.0026869414206436644,0.015626132174426616,0.008011628949189187,0.006494851532900342
2,True + lmfit (least_squares),0.0005116462707519531,0.006166696548461914,True,True,`ftol` termination condition is satisfied.,35,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.106195125132644,-4.792106525982584,1.9376084562592608,0.6644797635034373,3.6324251612307656,1.2340508621925261,0.0005236902557514703,0.0004272976228381227,0.0026869393051415346,0.01562601952024689,0.008011525834513825,0.006495080762947929
2,Standard lmfit (dual_annealing),0.0005843639373779297,1.1294338703155518,True,True,['Maximum number of iteration reached'],12358,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,5.05,0.0,1.05,5.05,0.0,1.05,7.106194247081026,-4.792106624123955,1.9376085533407061,0.6644798462013791,3.6324240351504584,1.234049660730283,0.0005238137524716631,0.00042727715179173017,0.002686889336019515,0.015625897009815953,0.008011833358725934,0.006496048031547057
