param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_amplitude1,true_center1,true_width1,true_amplitude2,true_center2,true_width2,initial_amplitude1,initial_center1,initial_width1,initial_amplitude2,initial_center2,initial_width2,fitted_amplitude1,fitted_center1,fitted_width1,fitted_amplitude2,fitted_center2,fitted_width2,error_amplitude1,error_center1,error_width1,error_amplitude2,error_center2,error_width2
3,Standard lmfit (least_squares),0.0005033016204833984,0.016399383544921875,True,True,`ftol` termination condition is satisfied.,134,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,5.05,0.0,1.05,5.05,0.0,1.05,8.475099604374044,-2.878428814860002,0.4503080060948541,1.8665920266506781,-1.8776088420091972,1.063998779507505,0.016054973760214065,0.0006326621763058838,0.010866267636588826,0.0256368438428924,0.04085086057606207,0.03011606168722118
3,ZeroGuess + lmfit (least_squares),0.0012154579162597656,0.008780479431152344,True,True,`ftol` termination condition is satisfied.,63,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.103835105895996,-2.608694553375244,0.3354347050189972,2.638913869857788,-1.7272138595581055,0.9353933930397034,8.475099856255985,-2.8784288147333266,0.4503080168673649,1.8665918868406473,-1.8776086928918094,1.063998745946076,0.01605500395760536,0.0006326621322694633,0.01086629181907639,0.02563691682388718,0.0408509367505085,0.030116092280010883
3,True + lmfit (least_squares),0.0005633831024169922,0.0058557987213134766,True,True,`ftol` termination condition is satisfied.,35,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.475100138201764,-2.8784288204475,0.4503080269564875,1.866591813418956,-1.8776085447422362,1.0639986442365634,0.016055037759262474,0.0006326641186964649,0.010866314467471624,0.02563695515009329,0.04085101243056098,0.03011618499292046
3,Standard lmfit (dual_annealing),0.0004942417144775391,1.1099457740783691,True,True,['Maximum number of iteration reached'],12295,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,5.05,0.0,1.05,5.05,0.0,1.05,8.475103827686866,-2.8784288564385268,0.45030878361861665,1.8665854085447195,-1.877602533056456,1.063996512163878,0.01605548008087082,0.0006326766303127254,0.010868013047581303,0.02564029850171314,0.04085408341271309,0.030118128475462753
3,ZeroGuess + lmfit (dual_annealing),0.0011854171752929688,1.126725673675537,True,True,['Maximum number of iteration reached'],12344,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.103835105895996,-2.608694553375244,0.3354347050189972,2.638913869857788,-1.7272138595581055,0.9353933930397034,8.475099648931586,-2.8784288364260266,0.45030800013917316,1.8665922473739749,-1.87760882310393,1.063998627810123,0.016054979102087783,0.0006326696733363535,0.010866254267079756,0.025636728625081016,0.04085087023354252,0.03011619996637818
3,True + lmfit (dual_annealing),0.0005362033843994141,1.1180732250213623,True,True,['Maximum number of iteration reached'],12302,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.341182143924176,-2.8766088932172384,0.4454674376934912,1.915704647548995,-1.9575775704046228,1.097037220101252,8.475092644113468,-2.878428414625447,0.45030780660784897,1.8665874922081935,-1.8776168046156545,1.0640010064171046,0.01605413931487337,0.0006325230421482236,0.010865819821578665,0.02563921082701514,0.040846792994486916,0.030114031756459665
4,Standard lmfit (least_squares),0.0005147457122802734,0.018654823303222656,True,False,`ftol` termination condition is satisfied.,162,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,5.05,0.0,1.05,5.05,0.0,1.05,5.010673783130112,-2.084127747113421,1.214011299201763,0.8491737078399071,-2.0680416169255187,0.6570845294227322,0.14496824324317206,0.0017152062838446415,0.03842250543402166,0.426617225762862,0.005057313967728592,0.17460765611947857
4,ZeroGuess + lmfit (least_squares),0.0012180805206298828,0.019016742706298828,True,False,`ftol` termination condition is satisfied.,163,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,3.3850185871124268,-1.9598331451416016,1.068008542060852,2.1983535289764404,-0.9249563217163086,0.9400667548179626,5.01066620160717,-2.084127795924907,1.2140118004104226,0.8491809501424082,-2.068041497162411,0.6570870119813196,0.14496651082087128,0.0017151829034332132,0.03842210844350984,0.42661233558378364,0.005057371586215212,0.1746045376700866
4,True + lmfit (least_squares),0.0005233287811279297,0.009539365768432617,True,False,`ftol` termination condition is satisfied.,71,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,5.010680783265743,-2.084127705613174,1.214010834407847,0.8491670189372985,-2.0680417063409164,0.6570822458512874,0.14496984281507455,0.0017152261622159976,0.038422873581640676,0.42662174227285155,0.005057270949640713,0.17461052461250018
4,Standard lmfit (dual_annealing),0.0005261898040771484,1.1398043632507324,True,False,['Maximum number of iteration reached'],12589,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,5.05,0.0,1.05,5.05,0.0,1.05,5.010602560611415,-2.084128506144405,1.2140160170409282,0.8492438289829042,-2.0680405433592073,0.6571069521419352,0.1449519684814052,0.0017148427125183734,0.038418768592390004,0.4265698782588906,0.005057830464563452,0.17457948997048195
