param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_frequency,true_phase,true_position,true_width,initial_frequency,initial_phase,initial_position,initial_width,fitted_frequency,fitted_phase,fitted_position,fitted_width,error_frequency,error_phase,error_position,error_width
1,Standard lmfit (least_squares),0.0005409717559814453,0.022780418395996094,True,False,`ftol` termination condition is satisfied.,127,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.525,3.141592653589793,10.0,1.55,0.2681618609948234,6.283185307179585,10.057624882182862,0.5300935378269473,0.339198629942736,0.04928569359008367,0.18363032959438894,0.7112952643880068
1,ZeroGuess + lmfit (least_squares),0.0012362003326416016,0.008964776992797852,True,True,`ftol` termination condition is satisfied.,55,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.42080938816070557,2.6965906620025635,11.85171890258789,1.8162082433700562,0.4081707661070779,6.014061062113078,12.341687787905151,1.83533873599645,0.00580970187288044,0.006453239681874417,0.0017652984363806768,0.00041983777722473287
1,True + lmfit (least_squares),0.0004200935363769531,0.00518035888671875,True,True,`ftol` termination condition is satisfied.,25,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.4081707647295381,6.014061111313137,12.341687805970121,1.8353387548050177,0.005809698478362716,0.006453247512307029,0.0017652999027003842,0.0004198275335182724
1,Standard lmfit (dual_annealing),0.0004627704620361328,0.803508996963501,True,True,['Maximum number of iteration reached'],8446,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.525,3.141592653589793,10.0,1.55,0.408170753133211,6.014061333792358,12.341687944016877,1.8353383945786637,0.005809669902826954,0.0064532829209747586,0.0017653111078493352,0.0004200237235241745
1,ZeroGuess + lmfit (dual_annealing),0.0011866092681884766,0.8843092918395996,True,True,['Maximum number of iteration reached'],8121,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.42080938816070557,2.6965906620025635,11.85171890258789,1.8162082433700562,0.4081525779169309,0.0,12.444336753476751,1.8349923149507177,0.005764882744151849,0.049285693590083814,0.010097235963660618,0.0006085090008516954
1,True + lmfit (dual_annealing),0.0004241466522216797,0.8212985992431641,True,True,['Maximum number of iteration reached'],8311,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40581311290499433,5.9735141613602165,12.31993941811405,1.8361096041714062,0.40817072297078666,6.014056255191837,12.341686124977356,1.8353367964545502,0.005809595576928217,0.006452474636597779,0.0017651634578114623,0.0004208941095348233
2,Standard lmfit (least_squares),0.0004229545593261719,0.015798568725585938,True,False,`ftol` termination condition is satisfied.,106,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.525,3.141592653589793,10.0,1.55,0.09845961130068819,2.6859870590854498e-11,9.646866418333664,0.9651101617898311,0.5032754031647487,0.15599452033192776,0.7285700937991739,0.630496511065914
2,ZeroGuess + lmfit (least_squares),0.0012295246124267578,0.0072743892669677734,True,True,`ftol` termination condition is satisfied.,40,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.13830767571926117,1.2053062915802002,5.376242637634277,2.4002323150634766,0.19793057290829894,1.0288133820662582,5.627195467473753,2.6382644941365596,0.0014485865783841426,0.007746214938733048,0.008306881761255958,0.010089805195388622
2,True + lmfit (least_squares),0.0004570484161376953,0.005266666412353516,True,True,`ftol` termination condition is satisfied.,25,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.19793056957165533,1.0288147160577856,5.627196419739005,2.6382659594628945,0.0014486034116107343,0.007746427250078687,0.008307052392543238,0.01009036621237365
2,Standard lmfit (dual_annealing),0.0004229545593261719,0.7839179039001465,True,True,['Maximum number of iteration reached'],8171,0.19821770842031466,0.9801424781769557,5.580836121681995,2.611910822747312,0.525,3.141592653589793,10.0,1.55,0.1979305640799853,1.0288134902249981,5.6271955009970585,2.638266321455927,0.0014486311168550293,0.007746232152731152,0.008306887768116632,0.010090504805555808
